OKUL ADI;ADRES;TELEFON;FAX;WEB ADRES;KURUM TUR ADI
ABDULLAH TAYYİP OLÇOK İMAM HATİP ORTAOKULU;İçmeler Mah. Seyit Onbaşı Cad. No: 32 İç Kapı No: 1 Tuzla / İstanbul;(216) 392 81 92;(216) 392 81 93;abdullahtayyipolcokiho.meb.k12.tr;İmam Hatip Ortaokulu
ABDULLAH TAYYİP OLÇOK ORTAOKULU;İçmeler Mah. Seyit Onbaşı Cad. No: 32 İç Kapı No: 1 Tuzla / İstanbul;(216) 392 81 92;(216) 392 81 93;tuzlaabdullahtayyipolcokoo.meb.k12.tr;Ortaokul
AHMET REFİK ORAL İLKOKULU;Fatih Mah. Avşar Sk. No: 12 Tuzla / İstanbul;(216) 482 72 40;(216) 482 57 23;ahmetrefikoral.meb.k12.tr;İlkokul
AHMET YESEVİ ANADOLU LİSESİ;Aydıntepe Mah. Batu Sk. Tezer Taşkıran Ortaokul Blok No: 53/2 Tuzla / İstanbul;(216) 392 33 34;(216) 392 33 34;tuzlaahmetyesevial.meb.k12.tr;Anadolu Lisesi
ASIM KİBAR MESLEKİ VE TEKNİK ANADOLU LİSESİ;Aydıntepe Mah. Batu Sk. Asım Kibar Meslek Lisesi Sitesi No: 3 Tuzla / İstanbul;(216) 507 20 53;(216) 507 20 87;asimkibarmtal.meb.k12.tr;Anadolu Meslek Programı
ATATÜRK İLKOKULU;Postane Mah. Öykü Sk. Tuzla Atatürk İlkokulu No: 3 İç Kapı No: 1 Tuzla / İstanbul;(216) 395 62 16;(216) 446 12 51;tuzlaataturk.meb.k12.tr;İlkokul
AYDINLI ANAOKULU;Aydınlı Mah. Başkomutan Cad. No: 46 İç Kapı No: 1 Tuzla / İstanbul;(216) 393 73 95;(216) 393 73 95;aydinlianaokulu.meb.k12.tr;Anaokulu
AYDINLI İLK ANAOKULU;Aydınlı Mah. Firuz Sk. Aydınlı Ilk Okulu Blok No: 27 Tuzla / İstanbul;(216) 393 10 43;0;770361.meb.k12.tr;Anaokulu
AYDINLI İLKOKULU;Aydınlı Mah. Firuz Sk. Aydınlı Ilk Okulu Blok No: 27 Tuzla / İstanbul;(216) 393 10 43;(216) 393 19 02;aydinli.meb.k12.tr;İlkokul
BARBAROS İLKOKULU;Postane Mah. Rauf Orbay Cad. A1 Sitesi No: 290A1 İç Kapı No: 1 Tuzla / İstanbul;(216) 395 88 61;(216) 395 87 84;tuzlabarbaros.meb.k12.tr;İlkokul
BARIŞ MANÇO ORTAOKULU;Mimar Sinan Mah. İğde Sk. No: 9 İç Kapı No: 1 Tuzla / İstanbul;(216) 423 44 55;(216) 423 42 44;barismanco.meb.k12.tr;Ortaokul
BEHİYE DR.NEVHİZ IŞIL ANADOLU LİSESİ;Postane Mah. Ören Sk. No: 17 İç Kapı No: 1 Tuzla / İstanbul;(216) 446 82 25;(216) 446 89 83;benal.meb.k12.tr;Anadolu Lisesi
BİNALİ YILDIRIM ANAOKULU;Aydınlı Mah. İnal Sk. No: 3 Tuzla / İstanbul;(216) 629 96 66;0;767501.meb.k12.tr;Anaokulu
BİNALİ YILDIRIM İLKOKULU;Aydınlı Mah. İnal Sk. No: 3 Tuzla / İstanbul;(216) 629 96 66;0;767447.meb.k12.tr;İlkokul
CEMİL MERİÇ İMAM HATİP ORTAOKULU;Aydınlı Mah. İlteriş Sk. Emlakkonut Okul Sitesi - Blok No: 3 İç Kapı No: 1 Tuzla / İstanbul;(216) 629 96 66;0;tuzlacemilmericiho.meb.k12.tr;İmam Hatip Ortaokulu
CEMİL TÜRKER İLKOKULU;Tepeoren Mah. Süleymaniye Bul. Okul Sitesi No: 2 İç Kapı No: 1 Tuzla / İstanbul;(216) 304 11 29;(216) 304 11 29;cemilturkerio.meb.k12.tr;İlkokul
CEMİL TÜRKER ORTAOKULU;Tepeoren Mah. Süleymaniye Bul. Okul Sitesi No: 2 İç Kapı No: 1 Tuzla / İstanbul;(216) 304 11 29;(216) 304 11 29;cemilturker.meb.k12.tr;Ortaokul
ÇAĞRIBEY ANAOKULU;Postane Mah. İstasyon Cad. Cağrıbey Ilkokulu Blok No: 69 İç Kapı No: 1 Tuzla / İstanbul;(216) 446 55 57;0;770074.meb.k12.tr;Anaokulu
ÇAĞRIBEY İLKOKULU;Postane Mah. İstasyon Cad. No: 69/1 İç Kapı No: 2 Tuzla / İstanbul;(216) 446 55 57;0;cagribeyilkokulu.meb.k12.tr;İlkokul
ÇAĞRIBEY ORTAOKULU;Postane Mah. İstasyon Cad. No: 69 İç Kapı No: 1 Tuzla / İstanbul;(216) 395 79 57;(216) 395 79 32;tuzlacagribey.meb.k12.tr;Ortaokul
DEDE KORKUT ORTAOKULU;Aydınlı Mah. Yeniyurt Sk. No: 53 İç Kapı No: 1 Tuzla / İstanbul;(216) 393 00 62;(216) 393 64 66;dedekorkuttuzla.meb.k12.tr;Ortaokul
EMİNE YILDIZ ORTAOKULU;Anadolu Mah. Çanakkale Sk. - Sitesi - Blok No: 9 İç Kapı No: 1 Tuzla / İstanbul;(216) 304 14 83;(216) 304 14 84;tuzlaemineyildiz.meb.k12.tr;Ortaokul
EVLİYA ÇELEBİ KIZ ANADOLU İMAM HATİP LİSESİ;Evliya Çelebi Mah. Ahmet Yesevi Sk. - Sitesi - Blok No: 8 Tuzla / İstanbul;(216) 446 00 78;(216) 446 00 78;evliyacelebikaihl.meb.k12.tr;Anadolu İmam Hatip Lisesi
EVLİYA ÇELEBİ ORTAOKULU;Yayla Mah. Özdere Sk. No: 11 İç Kapı No: 1 Tuzla / İstanbul;(216) 446 17 14;(216) 395 15 56;tuzlaevliyacelebi.meb.k12.tr;Ortaokul
EVLİYA ÇELEBİ TUZLAANAOKULU;Yayla Mah. Özdere Sk. Evlıya Celepbı Kız Anadolu Imam Hatıp Lısesı Blok No: 11 İç Kapı No: 1 Tuzla / İstanbul;(216) 446 17 14;0;770075.meb.k12.tr;Anaokulu
FARABİ ANAOKULU;Yayla Mah. Şinasi Dural Cad. Farabı Ilkokuku Blok No: 50 Tuzla / İstanbul;(216) 395 80 24;(216) 395 80 23;770081.meb.k12.tr;Anaokulu
FARABİ İLKOKULU;Yayla Mah. Şinasi Dural Cad. Farabi İlköğretim Okulu Blok No: 50 İç Kapı No: 1 Tuzla / İstanbul;(216) 395 80 24;(216) 395 80 23;farabiilkokulu.meb.k12.tr;İlkokul
FATİH SULTAN MEHMET İLKOKULU;Şifa Mah. Zafer Cad. No: 43 Tuzla / İstanbul;(0216) 674 60 81;0;768010.meb.k12.tr;İlkokul
FATİH SULTAN MEHMET İMAM HATİP ORTAOKULU;Şifa Mah. Zafer Cad. No: 43 Tuzla / İstanbul;(0216) 674 60 81;0;tuzlafsmiho.meb.k12.tr;İmam Hatip Ortaokulu
GAZİ MUSTAFA PAŞA İLKOKULU;Akfırat Mah. 2. Cad. No: 21 İç Kapı No: 1 Tuzla / İstanbul;(216) 439 10 26;0;tuzlagazimustafapasailkokulu.meb.k12.tr;İlkokul
