MAHALLE,ADRES,PARKLARIMIZ,ENLEM,BOYLAM,UHDE,TOPLAM ALAN,BASKETBOL SAHASI,ÇOK AMACLI SAHA,FUTBOL SAHASI,HALI SAHA,TENIS KORTU,COCUK OYUN GRUBU SAYISI,FITNESS GRUBU SAYISI
AKFIRAT,1. CADDE,ŞEHİT J.ER MURAT AŞÇI PARKI,40.92540849564695,29.424513753133777,Tuzla,1735,0,0,0,0,0,1,1
AKFIRAT,3. CADDE,3. CADDE PARKI 2018,40.923430156190825,29.41398842016929,Tuzla,909,0,0,0,0,0,1,0
AKFIRAT,43. SOKAK,43.LEYA SOKAK PARKI,40.92315642530877,29.42524651063093,Tuzla,339,0,0,0,0,0,1,0
AKFIRAT,6. CADDE,6. CADDE PARKI,40.92448246801255,29.42053566419032,Tuzla,525,0,0,0,0,0,1,1
AKFIRAT,AKFIRAT CAD.,FIRAT PARKI,40.925753604584735,29.41811796187486,Tuzla,350,0,0,0,0,0,1,0
AKFIRAT,SÜLEYMANİYE BULVARI,SOSYAL TESİSLER PARKI,40.927062354329664,29.415486690074157,Tuzla,6900,1,1,0,1,0,0,0
ANADOLU,ALSANCAK CD.,GENÇLİK PARKI,40.9055443347091,29.375787311803077,Tuzla,1266,0,0,0,0,0,1,1
ANADOLU,ULUBEY SOK.,ANADOLU MAHALLESİ PARKI ,40.90867197751682,29.37595223762979,Tuzla,919,0,1,0,0,0,1,1
AYDINLI,AYDINLI YOLU CD.,ŞELALE PARKI,40.85891135365244,29.316904154559676,Tuzla,110000,1,0,0,1,0,2,1
AYDINLI,AYDINLIK CD.,ŞEHİT J.ER BEKİR DEMİR PARKI,40.86790846148264,29.32630398301048,Tuzla,2500,1,0,1,0,0,1,1
AYDINLI,BAŞKOMUTAN CD,AYDINLI MERKEZ PARKI,40.86931711687865,29.328566671209252,Tuzla,850,0,0,0,0,0,1,0
AYDINLI,DERSAADET CAD.,DERSAADET CADDESİ ( SHELL YANI ) PARKI,40.87157327715853,29.33183255073612,Tuzla,2135,1,0,1,0,0,1,1
AYDINLI,EGEMEN SOKAK,GİRESUN MAH. OYUN ALANI,40.86099080574513,29.338914693068073,Tuzla,150,0,0,0,0,0,1,0
AYDINLI,ERDEMLİ SOK.,NECİP FAZIL KISAKÜREK CAMİ YANI PARKI,40.86568691749339,29.340487327453218,Tuzla,2669,1,0,1,0,0,1,0
